TableKey,Description,AttackPower,BlockEff,BlockPoiseCost,ParryEff,ParryPoiseCost,ParryPoiseAtk,MaxHP,DamageReduction,Poise
Test_StraightSword_1,테스트용 임시 데이터,5,0,0,0,0,0,0,0,0
Test_StraightSword_2,테스트용 임시 데이터,6,0,0,0,0,0,0,0,0
Test_StraightSword_3,테스트용 임시 데이터,7,0,0,0,0,0,0,0,0
Test_StraightSword_4,테스트용 임시 데이터,8,0,0,0,0,0,0,0,0
Test_StraightSword_5,테스트용 임시 데이터,9,0,0,0,0,0,0,0,0
Test_StraightSword_6,테스트용 임시 데이터,10,0,0,0,0,0,0,0,0
Test_StraightSword_7,테스트용 임시 데이터,11,0,0,0,0,0,0,0,0
Test_StraightSword_8,테스트용 임시 데이터,12,0,0,0,0,0,0,0,0
Test_StraightSword_9,테스트용 임시 데이터,13,0,0,0,0,0,0,0,0
Test_StraightSword_10,테스트용 임시 데이터,14,0,0,0,0,0,0,0,0
Test_StraightSword_11,테스트용 임시 데이터,15,0,0,0,0,0,0,0,0
Test_StraightSword_12,테스트용 임시 데이터,16,0,0,0,0,0,0,0,0
Test_StraightSword_13,테스트용 임시 데이터,17,0,0,0,0,0,0,0,0
Test_StraightSword_14,테스트용 임시 데이터,18,0,0,0,0,0,0,0,0
Test_StraightSword_15,테스트용 임시 데이터,19,0,0,0,0,0,0,0,0
